Название вакансии,URL,Название кампании,Описание
Инженер-тестировщик (стажер) / QA Engineer (Junior),https://hh.ru/vacancy/32693533?query=python,ООО Беамр имэджинг РУ,"Ручное и автоматизированное тестирование ПО для кодирования изображений и видео. Разработка скриптов для автоматизированного тестирования. Исследование качества, производительности и эффективности... Опыт разработки на языках программирования: Python, Perl, C/C++, и т.п. Уровень владения английским языком Intermediate и выше. "
Разработчик JavaScript,https://hh.ru/vacancy/32318504?query=python, Entensys,"Разработка веб-интерфейсов на ExtJS для собственных продуктов компании. Никакой заказной разработки, натягивания дизайна на CMS и прочего.  Навыки использования скриптовых языков для автоматизации работы (например, python) будут огромным плюсом. Развитие профессиональных навыков: Изучение и понимание различных сетевых..."
Веб-разработчик / Web-программист,https://hh.ru/vacancy/32832790?query=python, APRIORUM GROUP,"Программирование сайтов, интернет-магазинов, порталов. Front-end и back-end разработка. Участие в разработке интернет-сервисов и сайтов Компании.  Владение PHP, HTML, CSS. Желательно знание Jquery и Ajax или готовность изучить. Готовность к изучению новых технологий, решению нестандартных задач. "
Программист-разработчик,https://hh.ru/vacancy/32407426?query=python," Insilico Medicine, Inc","Разработка и реализация библиотеки для проведения автоматизированных экспериментов в задачах машинного обучения. Разработка и реализация модулей взаимодействия с базами данных... ...на Python от 2 лет, а также опыт тестирования кода (unittest/pytest). Опыт работы с базами данных через Python (MongoDB). "
Программист-разработчик,https://hh.ru/vacancy/32312346?query=python,ООО Hi-Tech Media,"Разработка ПО и пользовательских интерфейсов для систем управления мультимедийными комплексами на базе оборудования Extron, Crestron. Участие в проектировании ММ-систем... Высшее технической образование. Опыт работы от 3 лет по специальности, опыт программирования систем управления коммутации. Опыт ПНР на мультимедийных проектах..."
Разработчик / Программист PHP/JS,https://hh.ru/vacancy/32317214?query=python,ИП Бутик Полной Моды," Отличное знание PHP, умение разбираться в чужом коде (в том числе в старом). Знание систем управления базами данных (преимущественно MySQL..."
PHP web developer,https://hh.ru/vacancy/32316597?query=python,ООО Имейджин Вэб,"Политика ""открытых дверей"" - начальство всегда готово ответить на любой вопрос. Знание PHP (обязательно) / HTML / CSS / JS / Jquery (желательно). Самостоятельность, самокритичность, умение видеть в программировании конечный продукт, а не только процесс..."
NLP Software Engineer,https://hh.ru/vacancy/30581102?query=python,ООО IHS Global,"Reference to candidates with: Python (plus ML/DS/AI frameworks: TensorFlow, Theano or Keras). Experience in Linux/Unix advanced use or administration. "
Data Architect,https://hh.ru/vacancy/32262759?query=python, Группа компаний eLama,Участие в процессе проектирования и разработки DWH. Отвечать за архитектуру хранилищ данных. Обеспечивать отказоустойчивость хранения данных. Разработка скриптов для ETL... Знание принципов построения DWH. Опыт программирования на Python. Умение работать с Bash и Linux. Опыт работы с реляционными базами данных...
Стажёр web-разработчик,https://hh.ru/vacancy/32407615?query=python,ООО Дунайс,"На стажировке изучаются: У тебя есть определенный багаж знаний в сфере web-разработки, но ещё не. —JavaScript. —HTML5 и CSS3. "
Data Scientist,https://hh.ru/vacancy/32604835?query=python,ООО Медэкс,"Use your engineering skills to make scalable, reliable, predictable, manageable and cost-efficient solutions. Take responsibility on proposing the best... Production experience for high-quality code. Linux (process administration, bash scripting). Python programming. Basic knowledge of SQL. Tools: git, JIRA. "
Разработчик C# (Middle),https://hh.ru/vacancy/32350153?query=python,ООО ТРЭЙДБОТМАРКЕТ,"Разработка торгового терминала. Разработка коннекторов к различным биржам (как фиатным, так и криптовалютным). Разработка фреймворка для написания трейдинговых алгоритмов.  Уровень — Middle и выше. Опыт разработки на C# (.NET Framework). Опыт разработки на WPF. Знать и применять современные паттерны разработки..."
PHP разработчик,https://hh.ru/vacancy/31918371?query=python, Группа компаний eLama,"Участие в командой разработке от формирования задачи до релиза (в том числе code-review, unit-тесты). Участие в процессах разработки... Php 7.*, PHPUnit, Symfony framework. Нацелены решать проблемы и бизнес задачи, а не просто писать код. Уверенный php-разработчик."
Middle Backend разработчик,https://hh.ru/vacancy/31795219?query=python, Genesis,"Автоматизация процессов по retention и remarketing направлениях. Выделение микросервисов с монолитного приложения. Разработка нового и поддержка существующего функционала сайта.  Стремление к развитию. Знание других языков программирования (Go, C#, Java, Python). Умение оптимизировать SQL запросы. Знание kubernetes. Понимание принципов DDD. "
С++ Интерн,https://hh.ru/vacancy/31413488?query=python, CQG,"2. Написание тестов c использованием Gtest, Python. 3. Написание требований и сопроводительной документации (на английском языке). 4. Работа в команде... От вас: 1. Студент последних курсов. 2. Опыт программирования на С++ от 1 года. 3. Знание ООП. 4. Технический английский. "
GoLang Developer (remote work),https://hh.ru/vacancy/32791466?query=python, VIAcode,"Design and develop high-perform and high-available business web-applications. Development of applications backend and API. Domain logic, user... 3+ years of Go development experience. Experience in database development: Oracle or MS SQL. Excellent analytical and problem solving..."
Product Data Analyst,https://hh.ru/vacancy/31663550?query=python, Genesis,Находить в данных ответы на сложные вопросы от бизнеса. Создавать и развивать существующие внутренние аналитические инструменты для принятия или оптимизации... SQL + BI (Tableau / Power BI / QLikView) + R / Python - наш data стек. Превосходное чувство цифр и любовь к ним...
Junior C++ разработчик алгоритмов геометрического моделирования,https://hh.ru/vacancy/32787239?query=python,ЗАО Ледас,"Программист на языке C++ для разработки и реализации алгоритмов вычислительной геометрии моделирования 3D тел в машиностроении и архитектуре и... В качестве кандидатов мы готовы рассмотреть студентов без опыта работы в промышленной разработке ПО, имеющих хорошую математическую подготовку и уверенное..."
Computer Vision Developer,https://hh.ru/vacancy/32322427?query=python," Протей, НТЦ","Что предстоит: Разработка детекторов и трекеров объектов для системы видеоаналитики. Разработка, обучение, тестирование и внедрение нейросетевых детекторов. Прототипирование на Python.  Необходим опыт в: Английский язык."
Программист-стажер,https://hh.ru/vacancy/32333724?query=python, ZennoLab," Желателен опыт в программировании на C#, Java, C++, Python (обучение, свои проекты)."
QA Engineer,https://hh.ru/vacancy/32725687?query=python, Goodwix,"Goodwix В2В-портал – облачный сервис для управления оптовыми продажами, закупками и взаимодействием с партнерами. Сервис сокращает сроки и... Базовые знания в области СУБД. Базовое знание языков программирования(Java, C#, Python). Опыт написания автотестов. Опыт работы с Postman. "
Golang ведущий разработчик,https://hh.ru/vacancy/31806553?query=python,ООО Эйчэфти Арбитраж,"Разработка backend-приложения. Работа в Scrum-команде. Использование Swagger в разработке. Понимание Docker, Ansible, Kubernetes желательно. Опыт веб-разработки на Python, как плюс. Умение пользоваться git-flow."
DevOps Engineer,https://hh.ru/vacancy/32271358?query=python, Genesis,"Optimize and automate the existing processes. Build processes using the best up to date solutions. Configure web servers. Deploy websites.  Solid experience with MySQL. Ability to write automation scripts (Python, Bash, etc.). Previous work experience with monitoring and alerting tools. "
Инженер-программист (алгоритмы компьютерного зрения),https://hh.ru/vacancy/32116743?query=python, V5 Systems,"Участие в разработке алгоритмов обработки изображений и видео в задачах видеонаблюдения, обнаружения и отслеживания объектов. Проведение исследований, сравнительный анализ.  Опыт работы с нейросетевыми пакетами, такими как Torch, Caffe. Знакомство с CUDA. Знание языков Python, Lua. Разговорный и письменный английский."
Разработчик SQL,https://hh.ru/vacancy/32623208?query=python,ООО МВС ГРУП,"Писать очень сложные SQL запросы. Формировать KPI и дашборды (Graphana). Анализировать транспортные потоки, выявлять закономерности, очаги аварийности. Автоматизация отчетности.  SQL ( PostgreSQL ). Опыт работы с данными. Python. Excel продвинутый уровень. Опыт работы с форматами CSV/XML/JSON."
Deployment engineer / DevOps,https://hh.ru/vacancy/32795631?query=python," Wargaming, Saint Petersburg (Lesta Studio)","Поддержка, внедрение и улучшение CI / CD процессов в команде. Автоматизация рутинных задач. Поддержка dev / qa / preprod / prod окружений.  Опыт программирования на python / bash. Опыт работы с git / subversion. Опыт работы с linux, отсутствие страха терминала. Плюсом будет: Опыт..."
PHP-программист,https://hh.ru/vacancy/32333767?query=python,АО ОТС,"Разработкой и поддержкой приложений компании: CRM, ML. Уверенное знание PHP. Владение SQL (основные базы MySQL и PostgreSQL). Опыт участия разработки/поддержке веб-проектов. Навыки работы с сопутствующим..."
QA engineer,https://hh.ru/vacancy/32692334?query=python, Cedon BLR,"Лидинг и менторинг QA команды (для Senior Test Analyst). Кросс-платформенное тестирование VOD проектов (Responsive Web apps, native Android and... Опытом тестирования web, iOS, Android apps и REST API. Знаниями основ ООП и одного из языков программирования - JavaScript, JAVA, Python..."
Embedded Developer,https://hh.ru/vacancy/32717886?query=python,ООО ЛАЦИТ - Лаборатория цифровых технологий,"Разработка встраиваемого ПО для задач управления мобильными роботами, а также оснасткой промышленных роботов-манипуляторов (обработка датчиков и входных данных, управление... в ядре. Опыт обработки экспериментальных данных на Python (numpy, pandas etc). Умение программирования на скриптовых языках (shell, bash). "
Senior Software Engineer (R&D team),https://hh.ru/vacancy/31195690?query=python,ООО IHS Global,"Information Retrieval, IR Modeling, Retrieval Evaluation. Aspiration for writing good and clean code. Advanced Linux/Unix user. Cross-platform development: Windows ⟷ Linux, C++ ⟷ (.Net|Python). Natural Language Processing – developing own NLP system or..."
DevOps инженер,https://hh.ru/vacancy/32692462?query=python,ООО Геоскан,"Оптимизация и развитие CI/CD процессов. Автоматизация задач инфраструктуры. Обеспечение доступности сервисов. Повышение надежности и безопасности системы. Поддержание и развитие... Опыт работы с IaC (terraform). Знание hazelcast. Знание гипервизоров (kvm, hyper-v, VMWare). Опыт программирования на python или go."
Системный администратор Linux,https://hh.ru/vacancy/32299657?query=python,ООО Байкалтим,Первоначальная настройка серверов и сервисов для web-проектов разной степени нагруженности. Меньше единых точек отказа - больше стабильность. - Настройка CI/CD... Знание скриптовых языков bash и/или python. - Понимание принципов построения отказоустойчивых сервисов. - Опыт работы с AWS и опыт работы с...
Ведущий Backend-разработчик,https://hh.ru/vacancy/32796836?query=python,ООО Performance Marketing Group,"Нужно разрабатывать серверные части рекомендательной и рекламной систем, совершенствовать механизмы парсеров, выявляющих контент на различных сайтах. Производить обработку данных и... Уверенное владение Python, понимание преимуществ и тонких мест языка, навыки написания эффективного программного кода. Солидный опыт применения Python для web..."
Инженер-программист,https://hh.ru/vacancy/32723038?query=python, Радио Гигабит,"Проектирование и разработка программных компонентов под Linux и FreeRTOS. Разработка кода на C/C++. Участие в разработке ПО, создание спецификаций.  Опыт разработки под ОС Linux. Опыт разработки под ОС FreeRTOS. Опыт разработки custom Linux драйверов. Знание скриптовых языков (Shell, python)."
Младший инженер-программист,https://hh.ru/vacancy/31496799?query=python, Big Data Solutions,"Работа с биржевыми данными, в различных форматах включая: equities, FX, fixed income, фьючерсы, опционы, и spreads. Использование Python, Perl, Bash... Хорошие аналитические навыки. Хорошие навыки работы со скриптовыми языками, такими как Python or Perl. Опыт работы с языками, такими как..."
Build engineer / DevOps Engineer,https://hh.ru/vacancy/32795609?query=python," Wargaming, Saint Petersburg (Lesta Studio)","Сопровождение сервисов DevOps (Jenkins, Bitbucket). Обеспечение стабильности и надежности рабочего окружения проекта. Мониторинг за доступом к git-серверу и его... Развертка, настройка, администрирование Bitbucket. Хорошие знание Python, Java, Bash, Shell, Bat. Владение билд инструментами для основных языков программирования Java, C++..."
Старший Java Разработчик / Senior Java Developer,https://hh.ru/vacancy/32347879?query=python,ООО ГенАйТи,"Управлять циклом разработки программного обеспечения. Разрабатывать качественную архитектуру приложений, писать грамотный программный код, проводить его тестирование. Верифицировать программный код разработчиков.  Горячо приветствуется умение писать код на языках C#, С++, Python, Ruby, Erlang/OTP, Elixir (Phoenix framework). Максимально желательно знать технологии..."
QA engineer (strong middle level),https://hh.ru/vacancy/32719723?query=python,ИП Визутех Систем,"Requirements testing: verification of requirements to meet INVEST criteria (independent, negotiable, valuable, estimable, scalable, testable). Test design and development: design... Higher technical education. Basic Python knowledge. Security testing, Performance testing practical knowledge. Experience with automation tools: CI/CD (Jenkins, Teamcity..."
Data analyst (E-commerce Product),https://hh.ru/vacancy/31663565?query=python, Genesis,Анализ маркетинговых кампаний и продуктовых тестов. Построение сегментов и прогнозирование LTV. A/B тестирование. Построение алгоритмов автоматической закупки. Базовый английский. Отличное знание математики. Уверенное знание Python/R. Хорошее знание SQL. Опыт работы в Google Adwords. Опыт работы c...
Инженер-программист ( front-end developer ) junior/middle,https://hh.ru/vacancy/32697772?query=python, Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,"Взаимодействовать с дизайнерами, программистами и UX-аналитиками в целях создания удобного и востребованного продукта. Стек технологий: JavaScript, Bootstrap4, Python... Релевантный опыт front-end разработки от 1-ого года. Опыт веб-ориентированной графической визуализации данных (графики, таблицы, диаграммы, карты-схемы). "
Infrastructure/DevOps Engineer,https://hh.ru/vacancy/32690908?query=python, NVIDIA,"Work in a team developing microservices frameworks. Designing, developing, and operating large infrastructures based on containerized services. Experience with Cloud... Excellent understanding of server hardware, networking, etc. SW engineering skills in writing Python scripts to support infrastructure. Good written English..."
Разработчик-исследователь Deep Learning,https://hh.ru/vacancy/32407432?query=python," Insilico Medicine, Inc","Разработка и реализация современных архитектур нейронных сетей. Обучение и тестирование нейронных сетей на биомедицинских данных. Запуск множественных экспериментов на вычислительных... Уверенное программирование на Python (от 1 года). Алгоритмическая (алгоритмы и структуры данных) и математическая (линал, матан, теорвер, матстат) подготовки. "
Full-stack разработчик,https://hh.ru/vacancy/32603011?query=python, Group-IB,Разработка новых и доработка существующих сервисов компании. Написание unit-тестов. Активное участие в проектировании сервисов комапнии. Анализ данных. Хорошее знание JS. Хорошее знание Python или Golang (либо желание изучить Golang). Понимание нюансов асинхронного кода. Понимание принципов ООП и...
DevOps инженер,https://hh.ru/vacancy/32796888?query=python, Dialog,"Сопровождать текущую инфраструктуру проектов. Настраивать и сопровождать кластеры в OpenShift. Администрировать кластеры PostgreSQL. Автоматизировать администрирование (Ansible). Организовывать и развивать систему... Опыт работы с инструментами DevOps: Git, Jenkins, Ansible или их аналогами и понимание этапов DevOps – CI, CD. Python / bash - для..."
Front-end разработчик,https://hh.ru/vacancy/32679698?query=python,ООО Лаборатория 50,"Проектирование и разработка веб-сервиса. Навыки работы с Git. Опыт разработки front-end больших высоконагруженных проектов. Опыт работы со Swagger. Знание Linux, python, основ DevOps."
PHP-разработчик,https://hh.ru/vacancy/32333890?query=python, Веб-Мост,"Основной продукт нашей компании — ЭлЖур, электронный журнал для школ, детских садов, а также колледжей и даже институтов. Наша система помогает... Опыт разработки на PHP. Понимание принципов SOLID, KISS, DRY. Опыт работы с реляционными СУБД, в частности MySQL. Уверенное знание протокола..."
"Бэкенд разработчик (php, java, c#, python)",https://hh.ru/vacancy/32832865?query=python, Bitzlato ltd,"Писать бэкенд. Участвовать в совещаниях, обсуждать проект. Опыт разработки бэкенда на любом промышленном языке программирования. Знания SQL, умение написать запрос. Готовность идти на коммуникацию. Работа в офисе..."
Системный администратор/Программист,https://hh.ru/vacancy/32724198?query=python,ООО Сокол," Знание ООП. Знание синтаксиса C++, Python. Базовое понимание в электронике. Работа с Serial, I2C, SPI интерфейсами. "
Cистемный инженер (DevOps),https://hh.ru/vacancy/32415903?query=python, Рексофт,"Автоматизации рутины с помощью python/bash/golang. Конфигурирование/эксплуатация/траблшутинг микросервисов на Java (Springboot). Конфигурирование сборок Gradle/Maven.  Опыт разработки на Java. Опыт с чем-то из: Kafka/ActiveMQ, Netflix OSS (eureka, zuul, hystrix), Zookeeper, Openstack, Vault, Terraform..."
Инженер-программист,https://hh.ru/vacancy/31496817?query=python, Big Data Solutions,"Работа в проектах POC для крупнейших международных финансовых организаций. Разработка программного обеспечения для мониторинга и анализа высокочастотной торговли на биржах... Хорошие аналитические навыки. Хорошие навыки работы со скриптовыми языками, такими как Python или Perl. Опыт работы с языками, такими как..."
Ведущий программист,https://hh.ru/vacancy/32725833?query=python,ООО Мед-Аск,"Разработка прототипов решений и интеграций со сторонними системами на основе платформы распознавания лиц facial recognition. Разработка архитектуры сервисов распознавания лиц... Широкий опыт разработки на Django (Python 3.x) от 2х лет. Знание нескольких web-фреймворков Tornado, sanic и т..."
Front-end Developer,https://hh.ru/vacancy/32502885?query=python, YCLIENTS LLC,"Писать качественный, легко поддерживаемый и тестируемый код в команде опытных разработчиков. Писать тесты на него. Проводить code-review вместе с... Хорошо пониманимает принципы ООП, подходы в программировании и требования к транзакционным системам (SOLID, DRY, WET, ACID). Отлично знает JavaScript (es.next..."
Бэкенд-разработчик,https://hh.ru/vacancy/32141443?query=python, FunBox,"Вам предстоит участвовать в разработке сложных (web- и не только) сервисов с объемным бэкендом в профессиональной команде. Что нужно уметь: Хорошо знать один из веб-ориентированных языков: Ruby, Python, Perl, PHP, ASP. Уметь работать c Git. "
C++ разработчик алгоритмов геометрического моделирования,https://hh.ru/vacancy/32787359?query=python,ЗАО Ледас,"Для тех, кто не знаком со спецификой разработки инженерного ПО, проект даст возможность узнать изнутри устройство математики CAD приложений.  Высшее математическое или инженерное образование. Знание C/C++. Понимание и применение принципов ООП, паттернов проектирования. Хорошее знание и понимание математики..."
Software Developer (Linux / Windows),https://hh.ru/vacancy/32781240?query=python, Electrolux,"Enhance functionality of present and future WiFi-enabled household appliances capable to interact with Smart Home systems, Internet services and... Strong knowledge of C/C++/C# and Bash; Python is a plus. Knowledge of virtualization systems: embedded (e.g. "
DevOps инженер,https://hh.ru/vacancy/32685212?query=python, ЗАЗЕКС,"Мы предоставляем услуги web-разработки, мобильной разработки, десктопной разработки, математического прикладного программирования, проектирования, тестирования и создания графического дизайна.  Опыт работы написания скриптов на Bash, PHP, NodeJS, Python и других языков программирования. Опыт администрирования Apache, Nginx, MySQL, PostgreSQL, MongoDB..."
Инженер-программист,https://hh.ru/vacancy/31845319?query=python,ООО ИНИТИ,"Разработка функциональных модулей высокопроизводительной системы параллельных вычислений реального времени (преимущественно под ОС Linux). Опыт программирования на любом из ООП языков (C++, python, perl, java и т.д.). Понимание структур данных (различные виды деревьев..."
"Младший разработчик веб-скрейперов (Python, Selenium)",https://hh.ru/vacancy/31240024?query=python, Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,"Сбором и анализом данных из разнообразных источников. Построением отраслевых и межотраслевых экономических моделей. Разработкой и сопровождением экономических информационных систем.  Пакета Selenium. Языка программирования Python. Языка запросов SQL и принципов организации реляционных СУБД. Основ JavaScript, DOM, HTML, CSS, XPath. "
Младший компьютерный лингвист (Python),https://hh.ru/vacancy/31240083?query=python, Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,Разработкой и сопровождением экономических информационных систем. Программирование машинно-лингвистических приложений на языке Python. Обработка больших массивов данных с использованием технологий... Языка программирования Python. Технологий и принципов машинной лингвистики и машинного обучения. Операционной системы Linux. Основ информационной безопасности. Знакомство с лингвистическими...
Младший программист Delphi,https://hh.ru/vacancy/32511039?query=python,ООО Бизнес Технологии,"Разработка десктопного клиентского приложения ERP системы Глобал. Реализация новой функциональности, исправление ошибок. Написание модульных тестов. Знание одного из объектно-ориентированных языков. Уверенное знание ООП. Минимальная алгоритмическая подготовка. Вы можете ответить на вопросы: ""что такое указатель..."
BI Аналитик,https://hh.ru/vacancy/32801797?query=python,ООО Центр недвижимости от Сбербанка,Построение аналитической отчетности в Excel и BI. Создание витрин данных для внедрения в продуктовые системы. Отлично знаете Excel. Знакомы с QlikView или Grafana. Плюсом будет: Знание Python. Умеете работать с данными в векторном представлении используя...
Programmer (Unity),https://hh.ru/vacancy/32036244?query=python," Wargaming, Saint Petersburg (Lesta Studio)","Разработка клиентской части мобильного проекта, в том числе: Клиент-серверные взаимодействия. Разработка игровой логики для прототипов. Интерес к компьютерным играм, игровой индустрии в целом. Знание скриптовых языков (Python). Опыт работы с другими движками. Опыт написания шейдеров."
"Software QA Automation Engineer, Midrange Platform team",https://hh.ru/vacancy/32795207?query=python, Dell EMC,"Develop automated tests in Python using a testing framework. Use solid test development methodologies to provide building-block level tests... Experience with Python and other scripting language. Ability to drive the design of tests, understand software features, and devise appropriate..."
Senior QA Automation Engineer (Selenium),https://hh.ru/vacancy/32338139?query=python, Smart Development Ltd,"Разработка и поддержка инфраструктуры тестирования (Jenkins,Gitlab CI, Docker, Python). - Развитие архитектуры автотестов и тестового инструментария. - Плотная работа с командой... Опыт автоматизированного тестирования от 2 лет. - Понимание протоколов HTTP, TCP\IP. - Опыт автоматизации тестирования UI (Selenium WebDriver, Java). - "
Android Developer,https://hh.ru/vacancy/32415986?query=python, COMTEK Inc.,Contribute to development of automated test infrastructure using Python or similar scripting language. Develop new concepts in retail experience – think... 2+ years prior experience with Android application development. Previous work on published Android application(s) available on the Google...
Android Reverse Engineer,https://hh.ru/vacancy/32110259?query=python, Postuf,Исследование механизмов работы мобильных приложений под Android. Документирование исследованных механизмов и их прототипирование. Разработка методик анализа изменений в APK с... Умение прототипировать функционал на каком-либо языке (желательно Python\PHP\Bash). Будет большим плюсом умение анализировать нативный код. 
Android Developer,https://hh.ru/vacancy/32415803?query=python, COMTEK Inc.,Contribute to development of automated test infrastructure using Python or similar scripting language. Develop new concepts in retail experience – think... 2+ years prior experience with Android application development. Previous work on published Android application(s) available on the Google...
BI/ETL Аналитик,https://hh.ru/vacancy/32693574?query=python, Центр онлайн-обучения „Нетология-групп“,"Разработка аналитической платформы и инструментов. Аналитика и консалтинг для компаний группы. Развивать систему регулярной отчетности (мы используем Tableau, Redash, MetaBase).  Понимание принципов сквозной аналитики и устройства интернета. Python и опыт написания ETL-процессов. Опыт использования Tableau или другой BI-системы."
Интерн /стажер,https://hh.ru/vacancy/32317274?query=python,ООО Keysight Technologies,"Стажировка по программе ""АВТОМАТИЗАЦИЯ КОНТРОЛЬНО-ИЗМЕРИТЕЛЬНОГО ОБОРУДОВАНИЯ KEYSIGHT"". На создание каждой программы выделяется 2-3 недели. К программам необходимо написание... ...и на профильных сайтах и форумах (знакомство с C++/C/Python/LabVIEW будет плюсом). Знакомство с цифровой обработкой сигналов будет..."
Embedded Linux программист,https://hh.ru/vacancy/32606808?query=python,ООО Геоскан,"Разработка программного обеспечения для встраиваемых вычислительных систем на базе процессоров с ядром Cortex-A. Подготовка документации по сборке и использованию... Технический английский язык. Опыт работы с интерпретируемыми языками, например: Lua, Python, JavaScript. Опыт разработки приложений на Qt. Опыт отладки устройств..."
Data Scientist (Computer Vision),https://hh.ru/vacancy/32833046?query=python, AI Factory,"Участие в хакатонах и разработка известных проектов, высокорейтинговых приложений. Более 2 лет опыта в областях, связанных с машинным обучением. Хорошее знание Python, C++. Опыт работы с глубоким обучением, сверточными..."
Embedded программист С++,https://hh.ru/vacancy/32606908?query=python,ООО Геоскан,"Разработка программного обеспечения для встраиваемых вычислительных систем на базе микроконтроллеров с ядрами ARM Cortex-M. Полный цикл разработки, начиная с... Технический английский язык. Опыт работы с интерпретируемыми языками, например: Lua, Python, JavaScript. Опыт работы с интерфейсом CAN. Опыт отладки устройств..."
Фронтенд разработчик,https://hh.ru/vacancy/32505130?query=python, Anchous Drive Recruitment,"Систему для управления совместным имуществом (ТСН, ТСЖ, ГСК и прочие кооперативы). Ценишь взаимодействие с коллегами, качество своего кода и скорость... Тебе интересно думать своей головой и работать на результат. С кем ты будешь в основном взаимодействовать? За себя, достижение своих..."
Chief Data Scientist,https://hh.ru/vacancy/32833054?query=python, AI Factory,"Winning in programming Olympiads or Machine Learning contests. Office events. 5+ years of extensive experience in the machine learning field. Proficiency in Python, C++. Expertise in Deep Learning, neural..."
Веб-программист,https://hh.ru/vacancy/32573705?query=python,АО СИГНАЛТЕК,"Написание web-серверов на nodejs, tcp-серверов и tcp-клиентов на python3. Написание сервисов и утилит на python3. Javascript на клиенте, знание одного из современных фреймворков. Html/css вёрстка. Знание любого серверного языка программирования. Опыт работы с базами..."
Программист (Тьютор),https://hh.ru/vacancy/32722956?query=python, KIBERone (ИП Пальцева Татьяна Викторовна),Сеть КиберШкол программирования и цифрового творчества «KIBERone» развивается на территории России с целью создания и развития системы современных инновационных площадок... Полезный опыт от международной компании (с опытом работы в Силиконовой долине). Транслирование программ КиберШколы по методическим пособиям и передача практического...
Devops / SRE инженер,https://hh.ru/vacancy/32615597?query=python,ООО АвтоТрансИнфо,"АвтоТрансИнфо ― самая крупная компания-сервис для грузоперевозок. Мы помогаем грузоотправителям и перевозчикам найти друг друга, договориться, оформить документы, рассчитать маршрут.  Плюсом будет умение писать код на Python и опыт сопровождения и запуска .NET Core под linux."
Системный аналитик,https://hh.ru/vacancy/31039717?query=python,АО Мегаполис,"Разработка требований к программному обеспечению (desktop, mobile, tablet). Прототипирование, постановка задач дизайнерам. Постановка задач разработчикам. Проведение обследований. Согласование требований с... Будем плюсом опыт работы в сфере транспорта. Желательно умение программировать (Python). Желательны навыки подготовки презентаций. Желателен опыт разработки UX. "
Devops,https://hh.ru/vacancy/32574382?query=python,АО Флант,"Поднимать кластеры Kubernetes в различных конфигурациях. Переносить приложения клиента (на любом языке, фреймворке и технологии) в Kubernetes. Искать способы сделать... Опыт отказоустойчивой/высоконагруженной настройки реляционных баз данных. Умение программировать на Go и Python. Опыт работы web-разработчиком. Хорошие знания основ..."
"Инженер технической поддержки (решения ССTV/IPTV/OTT, Linux)",https://hh.ru/vacancy/32621254?query=python, Netris,"Поддержка клиентов компании в качестве инженера в технических вопросах (консультации, настройки). Проекты — создание и внедрение крупных IT-проектов в области... Плюсом будет знание одного или нескольких скриптовых языков (any bash, shell, perl, python или др.). Плюсом будет знание языков программирования..."
Программист С++,https://hh.ru/vacancy/32082380?query=python, Адалиск,Разработка CAD системы. Написание кода инфраструктурных классов. Создание новых и усовершенствование существующих алгоритмов для работы с 3D моделями.  ...аналитической геометрии и линейной алгебры). Знание английского языка на уровне необходимом для ведения переписки. Опыт использования Python. Опыт использования Linux.
Эксперт по машинному обучению и искусственному интеллекту,https://hh.ru/vacancy/31992997?query=python, Билайн,"Обработка и анализ данных. Разработка предиктивных моделей (бинарная классификация, регрессия). Оценка и контроль качества моделей. Ввод моделей в продакшен.  Опыт работы с Python, знание основных ml-библиотек. Хорошее знание теории вероятности, статистики, эконометрики. Наличие решенных задач в области машинного..."
Программист-разработчик,https://hh.ru/vacancy/32784187?query=python, Бибинет Софт,"На первом этапе необходимо будет проанализировать существующее решение и механизм интеграции внешних данных - оценить преимущества и недостатки, выявить потребности.  Техническое образование и отличные аналитические способности. Опыт проектирования и разработки микросервисов, их масштабирование, тестирование и интеграцию в систему мониторинга. "
Программист-разработчик,https://hh.ru/vacancy/32781307?query=python, DIRECTUM,"Мы разрабатываем DirectumRX — облачную систему электронного документооборота и управления взаимодействием. Задачи команды. Интеграция продуктов компании как между собой, так и... Инструменты разработки: MS Visual Studio 2017, VS Code, JB GoLand. Инфраструктура: Docker, Docker-compose, Python. Работа с задачами и кодом..."
Архитектор-разработчик,https://hh.ru/vacancy/32725600?query=python,ООО НЕОТЕХ,Разработка общей архитектуры программно-аппаратных комплексов. Разработка/доработка программного обеспечения (фронтенд и бэкенд) автоматизированных систем в области 3D сканирования. Приветствуется: Опыт разработки/использования систем 3D сканирования. Опыт работы/администрирования PostgreSQL и Oracle. Знание Python. Знание сетевых технологий. 
Golang developer,https://hh.ru/vacancy/32677263?query=python,ООО Смолис,"Разрабатывать компоненты и микросервисы проекта. Проектировать и разрабатывать API внутреннего и внешнего уровней. Плотно взаимодействовать с тестировщиками, дизайнерами, продуктовыми менеджерами.  1-3 летний опыт работы с Python. Сертификация по AWS. Знакомство с сервисами AWS, такими как RDS/Aurora, SQS, CloudWatch..."
Инженер-программист ( Software developer ),https://hh.ru/vacancy/31194172?query=python, Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,Разработка web-ориентированных программных сервисов по обработке и графическому представлению больших объёмов гетерогенных данных в социально-экономической сфере.  Релевантный опыт программирования на любом высокоуровневом языке программирования (Python/ Java / Scala и др.) от 3-х лет. Опыт веб-ориентированной...
