Название вакансии,URL,Название кампании,Описание
Программист Python,https://hh.ru/vacancy/32679137?query=python,ООО Лаборатория 50,Проектирование и разработка веб-сервиса на Python 3. Масштабирование решения с ростом количества пользователей. Опыт коммерческой разработки или свободные проекты на Python. Опыт работы в Linux не менее 2 лет. Знакомство с Django. 
Ведущий разработчик Python на платежную платформу,https://hh.ru/vacancy/32256640?query=python,ООО Процессинговая Компания Пэйтерра,"Принятие на поддержку существующего финтех проекта, дальнейшее его развитие (интеграции, доп.функционал и тд). Опыт разработки и поддержки крупных коммерческих проектов, реализованных на Python (Django) от 3х лет. Знание тонких мест реализации фреймворка..."
Программист Python (Middle),https://hh.ru/vacancy/32785618?query=python, Ассоциация Специализированных Организаций в сфере государственного заказа (АСО),"Принятие участия в Проекте по разработке автоматизированной системы. Уверенное знание Python 3. Уверенное знание Django 2+ и популярных пакетов для него, включая Django Rest Faramework. "
Программист Python,https://hh.ru/vacancy/32788855?query=python, Matller,"Создавать базовую платформу, объединяющую решения по распознаванию заданных объектов из различных источников (фото-/видео-съемка). Создание pipeline, для систем видеонаблюдения... Уверенно владеет Python, имеет опыт коммерческой разработки. Имеет опыт работы с БД SQL. Знает основные принципы ООП. Уверенно владеет Linux. "
Python developer,https://hh.ru/vacancy/32570296?query=python,ООО Зорачка Софт,"Проектирование и разработка приложений для встраиваемых систем. — Оптимизация потребления памяти и CPU. — Работа с передачей данных по сети и IPC... Понимание принципов асинхронного программирования, опыт работы с gevent. — Хорошее знание сетевого стека ОС. — Понимание принципов работы с памятью в линуксе. — "
Middle Python Software Engineer,https://hh.ru/vacancy/32783428?query=python, Design and Test Lab,"Миссия разрабатываемого продукта — это помочь людям со всего мира найти лечение редких болезней. С помощью социальной сети врачи, пациенты, их... Минимум 2 года опыта работы. — Знание языка Python 3. — Знание одного из фреймворков: Django, Flask, Tornado, webapp2. — Знание SQL. — "
Старший Python-разработчик/Senior Python developer,https://hh.ru/vacancy/32691158?query=python, BestDoctor,Разработка backend-составляющей нового продукта. Интеграция продукта в существующую систему. Участие в формировании технической стратегии BestDoctor и ее реализация.  Опыт web-разработки на Python не менее 3 лет. Опыт работы с Django от 2-х лет. Хорошее знание Django...
Python/Go Developer,https://hh.ru/vacancy/31705088?query=python,ООО Центр недвижимости от Сбербанка,"Понимающее IT-руководство. Например, у нас есть квота 1 день в неделю на борьбу с тех. долгом/саморазвитие/рисеч/решение... Бизнес-руководство, нацеленное на результат. Пробовали: Tornado/Django/Pyramid. Работали с Docker, раскатывали ansible, слышали про kubernetes. Имеют опыт работы..."
Веб-разработчик (Python/Django),https://hh.ru/vacancy/32333686?query=python,ООО АлгоМост,"Разработка нового функционала в существующих сервисах. Доработка существующего кода. Рефакторинг кода. Разработка новых сервисов. Хорошие знания Python 3. Опыт разработки проектов с использованием Django. Понимание объектно-ориентированного программирования. Знание SQL, опыт работы с одной..."
Python developer (Web),https://hh.ru/vacancy/32570315?query=python,ООО Зорачка Софт,"Проектирование, разработка и рефакторинг API сервисов. Опыт backend-разработки от 2-х лет. — Понимание полного цикла разработки – от анализа требований и первой строчки кода до мониторинга..."
DevOps (Python/Cloud),https://hh.ru/vacancy/32500438?query=python, IVIDEON,"Создать с нуля систему для автоматического развертывания окружения для разработки и тестирования. Создать с нуля систему CI (с запуском тестов... Опыт построения CI/CD. Опыт работы с инструментами сборки и развертывания. Опыт работы с экосистемой Docker (Swarm, Kubernetes). Знание Python."
Python-разработчик (full stack),https://hh.ru/vacancy/31280747?query=python, Akvelon, Глубокое знание языка Python и в контексте бэкенд-разработки. Опыт фронтенд разработки на React. Знание английского языка на уровне upper...
"Gameplay Programmer (C++, Python)",https://hh.ru/vacancy/31418769?query=python," Wargaming, Saint Petersburg (Lesta Studio)","...и разработка новых фичей для метаигры (Python). Оптимизация кодовой базы при портировании игры с PC на консоли (C++ и Python). Опыт работы в геймдеве. Знание основных алгоритмов‚ скорости их работы. Опыт разработки логики, сети или интерфейсов. Знание Python или желание..."
Backend developer (Python),https://hh.ru/vacancy/32714484?query=python, Дестени Продакшн,Создание новой игровой платформы. Участие в развитии игровых проектов компании и их интеграция с платформой. Разработка системы аналитики и статистики.  Опыт разработки на Python от 3-х лет. Уверенное знание Django/Flask. Знание принципов работы баз данных и опыт работы...
Python-разработчик (full stack),https://hh.ru/vacancy/31323484?query=python, Akvelon, Глубокое знание языка Python и в контексте бэкенд-разработки. Опыт фронтенд разработки на React. Знание английского языка на уровне upper...
Python-разработчик (full stack),https://hh.ru/vacancy/31280726?query=python, Akvelon, Глубокое знание языка Python и в контексте бэкенд-разработки. Опыт фронтенд разработки на React. Знание английского языка на уровне upper...
Python-разработчик (full stack),https://hh.ru/vacancy/31280847?query=python, Akvelon, Глубокое знание языка Python и в контексте бэкенд-разработки. Опыт фронтенд разработки на React. Знание английского языка на уровне upper...
Senior Python Developer / Team Leader,https://hh.ru/vacancy/30908131?query=python, Akvelon, Глубокое знание языка Python и в контексте бэкенд-разработки. Опыт фронтенд разработки на React. Знание английского языка на уровне upper...
Senior Data Scientist,https://hh.ru/vacancy/32717834?query=python, Ton Labs,"Lead data mining and collection procedures. Ensure data quality and integrity. Interpret and analyze data problems. Build analytic systems and... A business mindset. Good applied statistics, scripting and programming skills (R, Python and MATLAB). Proven experience as a Data Scientist..."
Audio Programmer (С++/ Python),https://hh.ru/vacancy/32713769?query=python," Wargaming, Saint Petersburg (Lesta Studio)",Внедрение новых аудио технологий и поддержка имеющихся. Разработка программного обеспечения согласно документации. Исправление дефектов на разных проектах. Участие в разработке... Хорошее знание и опыт программирования на С++ и Python. Базовое понимание работы аудио в играх и других медиа. 
Backend Developer (Python),https://hh.ru/vacancy/32346124?query=python,ООО Технологии обработки данных,"Сбор и систематизация открытых данных с внешних сервисов. Создание и поддержка интеграций с внешними и внутренними системами. Использования Selenium.  Отличное знание Python. Опыт работы с реляционными базами данных, хорошее знание SQL. Опыт работы с системами контроля версий и отслеживания..."
Программист / Ведущий программист Python,https://hh.ru/vacancy/32317115?query=python,ООО Инплат-Технологии,1. Разработка realtime сервисов для эмиссии / эквайринга и систем принятия решений. 2. Разработка кредитных и брокерских систем. В этом направлении... 
